Object,Count,Detection Time
person,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
person,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
person,1,2025-02-28 01:57:47
person,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
person,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
person,1,2025-02-28 01:57:47
person,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
chair,1,2025-02-28 01:57:47
